name,description,ingredients,steps,tags,minutes,id
Marcha no Sambharo,"PrintMarcha no SambharoRating: 51Prep Time: 5 minutesCook Time: 5 minutesTotal Time: 10 minutesServing Size: 4Marcha no Sambharo (Sauteed Chilli) is well known Gujarati side dish. It is favorite side dish for spicy Gujarati food lover.Ingredients6-7 green chilies (long cut)1 cup chickpea flour (roasted)For seasoning2 tbsp OilΩ tsp Mustard seedsΩ tsp Turmeric powderSalt to tasteInstructionsCut chilies in to long pieces.Then heat oil in a pan at slow flame.Add muster seeds in it.When it is spluttering, add turmeric powder, chilies and salt in it.Stir properly. Cook for 5 minutes at slow flame.Sprinkle water on chilies.Now add chickpea flour in pan.Mix it properly and. cook for 2 minutes.Chilies sambharo is ready for serve.You can serve with rotlo, Rotli , bhakhari also.3.1","6-7 green chilies (long cut),1 cup chickpea flour (roasted),,2 tbsp Oil,Ω tsp Mustard seeds,Ω tsp Turmeric powder,Salt to taste,","Cut chilies in to long pieces.,Then heat oil in a pan at slow flame.,Add muster seeds in it.,When it is spluttering, add turmeric powder, chilies and salt in it.,Stir properly. Cook for 5 minutes at slow flame.,Sprinkle water on chilies.,Now add chickpea flour in pan.,Mix it properly and. cook for 2 minutes.,Chilies sambharo is ready for serve.,You can serve with rotlo, Rotli , bhakhari also.","Salad & Raita,Side Dish",20,29
Pudina Green Aloo,,"1 kg Potatoes (medium size),50 gm Fresh Mint leaves,50 gm Coriander (chopped),10-12 Black Pepper,5-6 Green Chilis,1 piece of Ginger,4-5 Curry leaves,1 tsp Cumin Powder,Salt to taste,1 tsp lemon Juice,2 tsp Oil for Seasoning,Water according to requirement,,2-3 Mint Leaves,Salted Peanuts (without skin),1 Green Chili,","Wash and boiled potatoes in a cooker for 3-4 whistle at medium to slow flame.,Peel potatoes and cut into medium pieces.,Mix black pepper, green chili, ginger, curry leaves, mint leaves and coriander leaves.,Blend it properly in mixture jar.,Add water according to requirement and again blend and keep aside.,Heat oil in a pan on medium flame.,Add paste into oil. Cook on the slow flame for 5-7 minutes.,Now add salt, cumin powder and mix well.,Add potatoes and pour lemon juice on it.,Mix well and cook for 2-3 minutes.,Potatoes appear coated with the paste.,Mint aloo is ready for serve.,Garnish with salty roasted peanut, green chili, and mint leaves.",Farali,21,30
Farali Aloo Pudla (Potato Roasties),"Ahhhhh, mouth watering aloo pudla. †Aloo pudla is a farali recipe. I love this shallow fry fasting recipe. I tried after seeing TV cooking show. It consists of potatoes, ginger chili paste, chat masala and amchur powder. So roasties have light sour and spicy taste. Main ingredient is potatoes. I have used oil for binding potato mixture. During fast I make many fasting dishes but this is my favorite one. I make suki bhaji, sabudana khichadi, sabudana tikki with potato roasties. I serve aloo pudla with coriander chutney and sauce. Hope you will go simple and easy potato roasteis. Try it and enjoy.","4 Potatoes,1 tsp Chat masala,1 tsp Amchur powder,2 tsp Ginger Äì chili paste,1 tsp Coriander leaves (chopped),2 tsp Oil,Salt to taste,Oil for frying,","Wash potatoes and peel.,Grate potatoes properly.,Add salt, ginger chili paste, chat masala, amchur powder, and coriander leaves.,Mix well and add oil in it.,Also, mix oil properly.,Then heat a nonstick pan over the slow flame.,Take 1 tsp oil on the pan.,Pour approx 1 tbsp mixture in the pan.,Gently spread with soon and make a thick round shape.,Sprinkle little amount oil on it.,Cook it for 8 10 minutes at medium flame.,Turn and also cook another side same method.,It appears like the light brown color.,Serve with coriander chutney and mint chutney.",Farali,20,31
Dry Sabudana Khichdi (Without Oil),We every day make a different dish by using oil. Then I decided to try without oil dish for mom. We often made sabudana khichadi frequently on fasting days.,"100 gm Sabudana (sago),1 tbsp Farali chevado,2 small Potatoes (boiled),1 Green Chili (fine chopped),Salt to taste,1 tsp Chat masala,2 tsp Sugar powder (optional),1 tsp Amchur powder,Ω tsp Black pepper powder,1 tsp Red chili powder,1 tbsp Coriander leaves (chopped)","Wash and drain sago balls.,Every 30 minutes sprinkle water on it, repeat it till 3-4 hours.,Remove the skin of potatoes and cut into small pieces.,Now take sago balls in a medium bowl.,Add potatoes, red chili powder, green chili, salt, amchur powder, chat masala, sugar powder, and black pepper powder and mix well.,Also mix farali chevado and coriander leaves.,Garnish with coriander leaves.,Sabudana khichdi is ready for serve.",Farali,120,32
Sabudana Kheer (Sago Pearls Kheer),Sabudana Kheer (Sago Pearls Kheer) is fast or Vrat Recipe. I made this Tapioca Pearls Kheer during fast and as desserts†during Summers. This recipe is as easy to made like Rice Kheer. I always made this pudding during religious fast.,"250 gm Sabudana (sago pearls),150 gm Sugar,1.5litre Milk,2 tbsp Almond (chopped),2 tbsp Cashew nuts (chopped),1tsp cardamom powder,","Soak Sago balls in water till it deep for 20-25 minutes.,Boil milk and add sugar in another pan till sugar melt in milk.,Mix sago balls and milk at slow flame and stir well.,Cook for 4-5 minutes at slow flame.,Garnish with almond and cashew nuts.,Refrigerate for 2-3 hours.,Serve as Desserts or during Fast.",Farali,10,33
Banana Chips Äì Kela Wafer,,"4-5 medium size Raw Banana,Black Salt to taste,Black Pepper powder to taste,Oil for deep frying","Peel banana and slight cut it both side ends.,Heat oil in a pan at medium flame.,Make wafer directly in hot oil by using slicer.,And deep fry till it becomes crispy.,Sprinkle black salt and black pepper powder on it.,Mix well, Raw Banana wafer is ready to serve.,Store in a air tied container for 20-25 days.","Farali,Snacks",20,34
Amla Juice (Gooseberry Juice),"Amla Juice (Indian Gooseberry Juice) is healthy drink. Amla is very healthy fruit and widely used during winter. Amla is enrich with iron, vitamin C and other nutritional benefits. Amla juice is very helpful in digestion, glow skin and hair and hair fall. You can preserve amla juice and can use after season also.","1 kg Amla (gooseberry),Black salt to taste,","Grate or cut amla in to small pieces.,Grind it like smooth pulp in a mixture jar.,Sieve this pulp with cotton cloths.,Squeeze cotton with hand properly.,Store it for 10-15 day in a refrigerator.,As serve time, mix black salt in it.,Amla juice is ready for serve.","Beverages,Winter Special",50,35
Masala Chai Äì Masala Tea Äì Indian Tea,"How to make†chai tea? Indian tea is quick, easy to make and most drinking refreshing beverages in India. Every IndianÄôs morning start with tea. There is no fix recipes for tea, many has their own versions of tea. You can adjust ratio of tea and milk according your taste. Mixture of Indian spices adds awesome taste and aroma in tea.","5 cup Milk,1 tbsp Tea leaf,2 tsp Sugar,º tsp Ginger (grated),º tsp Cardamoms (powder),","Heat milk in a bowl.,Add tea leaf, sugar and other spices.,Boil till get good colour.,Serve hot with any snacks.",Beverages,60,36
Homemade Buttermilk (Chaach),,"500 gm Fresh curd,Ω liter cold water,2 tsp roasted cumin seeds,Pinch of salt,","Blend curd properly.,Add water and again blend it.,Mix curd and roasted cumin seeds in it.,Butter milk is ready for serve.",Beverages,40,37
Lemonade Äì Nimbu Pani Äì Summer Coolers,"PrintLemonade Äì Nimbu Pani Äì Summer CoolersRating: 51Prep Time: 5 minutesCook Time: 10 minutesTotal Time: 15 minutesServing Size: 4Nimbu Pani is simple, quick and best Indian energy drink. Indian Lemonade is delicious, Vitamin C rich refreshing summer drink or Summer coolers. It made with lime juice, sugar, salt and water.Ingredients4 glass Water (cold water)Sugar to taste2 medium LemonsBlack Salt to taste (Kala Namak)Pinch of Black pepper (optional)1 cup Ice cubes5-6 Mint leavesInstructionsTake water in a bowl.Add sugar, salt in water.Squeeze lemon by squeezer and add lemon juice in it.Stir till sugar dissolved.Add ice cubes and garnish with mint leaves.NotesYou can add Chat masala, Jaljira masala, Ginger, Mint for variation.3.1","4 glass Water (cold water),Sugar to taste,2 medium Lemons,Black Salt to taste (Kala Namak),Pinch of Black pepper (optional),1 cup Ice cubes,5-6 Mint leaves","Take water in a bowl.,Add sugar, salt in water.,Squeeze lemon by squeezer and add lemon juice in it.,Stir till sugar dissolved.,Add ice cubes and garnish with mint leaves.",Beverages,10,38
Watermelon Juice,"PrintWatermelon JuiceRating: 51Prep Time: 5 minutesCook Time: 10 minutesTotal Time: 15 minutesServing Size: 4
Watermelon juice is refreshing juice in summer and it is rich of essential vitamins, minerals and water also. So we get more energy from watermelon.
Most of nutritionist suggests using more watermelon to loose weight.
WatermelonÄôs seeds are very important in mukhavas (mouth freshner).
Enjoy Watermelon in summer.Ingredients8 cup Fresh Watermelon (small pieces)Sugar to taste (optional)Ω tsp Black pepperΩ tsp Black salt2 cup Ice CubesMint leaves for garnishingInstructionsRemove seeds from watermelon.Keep in a mixture jar.Grind it till watermelon appears like liquid.Sieve it properly in another bowl.Mix black pepper and black salt in it.Add ice cubes, garnish with mint leaves a serve.Watermelon ArtNotesYou can add sugar according to taste.3.1","8 cup Fresh Watermelon (small pieces),Sugar to taste (optional),Ω tsp Black pepper,Ω tsp Black salt,2 cup Ice Cubes,Mint leaves for garnishing","Remove seeds from watermelon.,Keep in a mixture jar.,Grind it till watermelon appears like liquid.,Sieve it properly in another bowl.,Mix black pepper and black salt in it.,Add ice cubes, garnish with mint leaves a serve.",Beverages,10,39
Crispy Karela Batata Fry,,"4 Karela (Bitter Gourd),2 Potatoes,Oil for frying,Salt to taste,1 tsp Red chili powder,1 tsp Cumin coriander powder,Ω tsp Lemon juice,1Ω  tsp Sugar powder","Light peel karela and cut in to long strips according finger shape.,Remove seeds from karela.(optional),Also peel potatoes and cut in to long strips.,Heat oil in a pan at medium flame.,Fry karela till it becomes crispy.,Also fry potatoes till it becomes crispy.,Mix karela and potatoes.,Sprinkle red chili powder, salt, cumin coriander powder, sugar and lemon juice on it.,Mix well and serve hot.","Daily Meal,Vegetables",45,40
Bharwan Bhindi Äì Bharela Bhinda Äì Stuffed Okra,"Bharwan Bhindi (Bharela Bhinda Äì Stuffed Okra) is simple, spicy and delicious okra recipe. In Gujarati, it also known as Sambhariya Bhindi also. Fresh Bhindi and stuffed tangy spices gives irresistible tastes.","250 gm Bhinda (okra),Tomatoes for garnishing (fine chopped),,1 tbsp Gathiya (any) (coarsely),2 tbsp Cumin- coriander powder,1 tbsp Fried rice flakes (powder),1 tsp Ginger garlic paste,Ω tsp Turmeric powder,3 tsp Red chili powder,Salt to taste,2 tsp lemon juice,1 tbsp coriander leaves,1 tbsp oil,,2 tbsp Oil,1 tsp Cumin seeds,Pinch of Asafetida","Cut both side end of okra and slit it in meddle. (long slit),Mix all stuffing ingredients.,Fill stuffing into okra.,Heat oil in a pan at medium flame and add cumin seeds in it.,When it is spattering, add asafetida in it.,Now stir slowly and cook it at slow flame.,Cover lid and stir after sometime.,Cook till it become soft.,Garnish with tomatoes.,Serve with regular dish.","Daily Meal,Vegetables",12,41
Dudhi Chana dal nu Shaak Äì Lauki Chana Dal Sabji,Dudhi chana ni daal nu shaak (Lauki Chana Dal Äì Bottle gourd and Bengal gram curry) is authentic and common Gujarati veg. Major people avoid bottle gourd but this combination taste delicious and different. Lauki is healthy and very helpful in weight loss. It also helps in treatment of high blood pressure and heart disease also.,"250 gm Bottle guard,50 gm Chana dal,Water according to requirement,,1 tbsp Oil,º tsp Mustard seeds,º tsp cumin seeds,Pinch of asafetida,Ω tsp Garlic chutney,Ω tsp Turmeric powder,1 tsp Red chili powder,1 tsp Cumin coriander powder,º tsp Sugar powder,1 tsp Lemon juice","Wash and soak chana dal in warm water for 1 hour.,Peel bottle guard and cut in to small pieces.,Drain water from chana dal and keep a side.,Heat oil in a cooker and add muster seeds and cumin seeds.,When it spluttered, add asafetida, turmeric powder and chana dal.,Stir and cook for 2-3 minutes.,Now add salt, garlic chutney, bottle guard, red chili powder, cumin coriander powder.,Mix well .also cook for 1 minute. Now add approx little water in it.,Lid cover and cook for 4-5 whistle at medium to slow flame.,When cooker become cool, mix lemon juice and sugar.,Stir and heat till oil is separated from it.",Vegetables,12,42
Kaju Karela (Cashew Nuts Äì Bitter Gourd Sabji),,"3 Karela (Bitter Gourd),2 Onions,Ω cup Cashew nuts,Oil for frying,Salt to taste,1 tsp Red chili flakes,Ω tsp Garm masala,1 tsp Lemon juice","Light peel karela and cut in to long strips according finger shape.,Remove seeds from karela.(optional),Also peel onion and cut in to long strips.,Heat oil in a pan at medium flame.,Fry cashew nuts till color change.,Then fry karela till it becomes crispy.,Now fry onion still it becomes light golden.,Mix karela, cashew nuts and onion in a plate.,Sprinkle red chili flakes, salt, garam masala and lemon juice on it.,Mix well and serve with regular dish.","Daily Meal,Vegetables",45,43
Chori Nu Shaak (Black Eyed Beans Curry),,"1 cup Chori (black eyed peas),Water according to requirement,Salt to taste,1 Onion slice,,Ω tbsp Oil,Ω tsp Cumin seeds,1 cup Tomato puree,º tsp Turmeric powder,1 tsp Ginger garlic paste,1 tsp Red chili powder,Ω tsp Garam masala","Wash black eyed peas and soak in warm water for 1 hour.,Drain water from it.,Heat 4 cup water in a cooker at medium flame. Add black eyed pea and salt.,Lid cover and cook for 4-5 whistle at medium to slow flame.,Now drain water from black eyed pea. Keep a side.,Heat oil in a pan at medium flame.,Add cumin seeds and tomato puree and when bubbles are seen, add ginger garlic paste, turmeric powder, red chili powder and mix well.,Now add boiled chori in it.,Add Ω cup water and cook till oil is separated from it.,Now add garam masala and mix well.,take in a bowl and garnish with onion slice.","Daily Meal,Vegetables",78,44
Okra with Tomatoes (Bhinda-Tameta nu Shaak),"Bhinda Äì Tamata nu Shaak (Okra with tomatoes) is simple and delicious Gujarati vegetable. It is quick and easy to made Gujarati veg. In Gujarati Thali, it pair with Roti, Rotla, Bhakhri or Rice. There are lots of variant of Okra with tomatoes veg. Normally, Gujarati flavor of lady finger with tomatoes†is spicier.","250 gm Lady`s finger cut in to small pieces,Oil according requirement,2 medium size tomatoes (finely chopped),,1 tsp Cumin seeds,1/3 tsp Turmeric powder,1 tsp Cumin coriander powder,1.5 tsp Garlic paste,4 tsp Red chilli powder,A Pinch of Asafoetida,Salt to taste","Heat oil in a pan and fry lady`s finger at high flame.,After that heat 3 tsp oil in a pan and add cumin seeds, asafoetida, turmeric powder, lady`s finger (fried), garlic paste and  stir well.,Now add salt, tomatoes, red chilli powder, cumin coriander powder and stir it well.,Let it simmer 7-8 minutes at slow flame.,Shaak is ready for serve.",Vegetables,121,45
,,,,,20,46
Rice Flour Khichu,"Khichu is simple, easy to made, spicy and delicious healthy Gujarati Snacks. This steamed rice flour street food is very famous in Gujarat. Khichu is also known as Papdi no lot, which is dough to make traditional rice papad.","5 cup Water,2 cup Rice flour,Salt to taste,º tsp Baking Soda,2 green chili (fine chopped),1 tsp Cumin seeds,Achar Methi masala according to taste,1 tbsp oil,","Heat water and add cumin seeds, green chili, baking soda and salt in it.,Boil water in a pan for 10-15 minutes at medium to slow flame.,Now mix flour slowly and stir continuously using wooden spoon to prevent again lump.,Lid pan and keep this pan on a stove for 1 -2 minutes at slow flame.,Mix it every 15-20 seconds.,Serve in a dish and pour methi masala and oil in it.,Khichu is ready for serve.","Popular,Snacks",21,47
Bataka-Sabudana Ni Tikki (Potato-Sago Tikki),,"4 potatoes,1 cup Sago balls (Sabudana),1.5 tbsp Starch powder,Ω tsp Black pepper powder,1 tsp Sugar powder,2 tsp Lemon juice,2 tsp Ginger Äì garlic paste,2 tsp Red chili powder,Salt to taste,Oil for frying,","Wash sago balls and drain water from it.,Sprinkle water on sago balls every 30-45 minutes for 4-5 times.,Wash and cut potatoes.,Now heat water in a cooker and cook potatoes for 4Äî5 whistle.,When it cools, peel potatoes and mass properly.,Mix potatoes, sago balls, starch powder, ginger chili paste, salt, black pepper powder, sugar, red chili powder.,Mix properly and make medium balls from this mixture.,Slowly press all balls with you palm and make tikki.,Heat oil in a pan at medium flame.,Fry 5-6 tikki till it becomes golden brown in color.,Repeat for other tikki.,Serve with green chutney, curd chutney and sauce.","Farali,Snacks",20,48
Farali Chakri,Farali chakri is fasting variant of famous Gujarati Snacks Chakri. Farali chakri tastes as delicious as wheat flour chakri. ItÄôs crispy and crunchiness adds awesomeness in recipe.,"2 Potatoes (boiled and massed),1 cup Rajagara flour,1 cup Singola flour,Ω cup Moraiya flour,Salt to taste,2 tsp Cumin Seeds,2 tsp Green chili Paste,1 tsp Black pepper powder,1 tsp Lemon juice (optional),1.5 tbsp Oil,Water according to taste,Oil for frying","First take all flour and potatoes in mixing bowl.,Add salt in to flour and Tie flour in to the cotton clothes.,Steam it in a steamer for 15 minutes.,Keep a side and cool down it.,Break the lumps formed.,Sieve the flour in to other vessel.,Add chili paste, cumin seeds, lemon juice, black pepper powder and oil in it.,Knead dough mix 1 tsp oil and again knead.,Put dough in to frying spoon.,Heat oil in a pan at medium flame.,Press frying spoon to make chakari in a paper.,Make chakari.,Fry chakari till it becomes crispy.,Now farali chakri is ready for serve.,You can store upto 2-5 days also.","Farali,Snacks",120,49
Khaman Dhokla,,"2 cup Chickpea flour (besan),Ω cup Curd,Ω cup Water,1.5 tsp Ginger chili paste,Salt to taste,º tsp Turmeric powder,1 tsp Sugar powder,Ω tsp Fruit salt,,3 tsp Oil,1 tsp Mustard seeds,1 tsp Cumin seeds,1 tsp 7-8 Curry leaves,1 tsp Sugar powder,Ω cup Water,1 tbsp Coriander leaves","Beat curd and water properly.,Mix besan, salt, ginger chili paste, sugar, turmeric powder in this curd water.,Stir properly and keep ma side for 1 hour.,Batter should be medium.,Now mix fruit salt in it.,Grease the plate and pour this batter in dish.,Boil water in steamer and place dish on it.,Cover lid and cook for 15-20 minutes at medium flame.,Remove from steamer.,Heat oil in a pan at slow flame.,Add mustard seeds in it.,When it is spluttering, add cumin seeds and curry leaves.,Also add sugar and water in it.,When bubble is seen in seasoning, pour on khaman dish.,Cut in to medium pieces and garnish with coriander leaves.","Farsan,Side Dish,Snacks",10,50
Bataka Waffer Na Bhajiya (Aloo Pakora Äì Potato Fritters),"Batata Waffer Na Bhajiya (Aloo Pakora Äì Potato Fritters) is famous Gujarati farsan. ItÄôs utterly simple to make aloo pakora. This crispy pakora tastes delicious with warm tea, spicy chutnies during winters or monsoon.","250 gm Chickpea flour,Salt to taste,Ω tsp Baking soda,2 Potatoes (slice),1 tbsp Lemon juice,Water according to requirement,Oil for frying","Peel and wash potatoes.,Make slice (round shape) by slicer. Soak slice in the water.,Sieve the flour in a bowl.Add salt and baking soda.,Also add lemon juice on it.,Last add water and make batter.,Batter should not be very soft or not very hard.,Heat oil in pan at medium flame.,Drain water from slice.,Deep slice in a batter.,With help of finger or spoon put slice in oil.,Make bhajiyas.,Fry till it become light golden in color.,Serve with green chutney, masala curd.",Farsan,20,51
How To Make Khandvi,"Khandvi is zesty Gujarati Snacks. Khandvi is great tea time snacks. Khandvi represent Gujarati Snacks worldwide. It is healthy, quick and easy to made.","Ω cup Gram flour,1 cup Butter milk (thin),º tsp Turmeric powder,Salt to taste,2 pinch Asafetida,1 tsp Oil,Coriander leaves for garnishing,,Ω tsp Muster seeds,7-8 Curry leaves,1-2 Dry red chili,2-3 Green chili (finely chop),Ω tsp Sesame seeds,2 tbsp Oil","Mix gram flour, salt, butter milk to form a batter.,Heat oil in a pan and pour the batter in it slow flame at 5-6 minutes.,Stir continuously to prevent lump formation. Stir till taste does not raw.,When you taste raw, keep on stove more five minute.,Then pour on a dish and make thin with spoon.,Allow to cool 5-10 minutes.,When cool, cut in to 2 wide strips and make roll.,Continue for all strips. And carefully make roll.,Place all roll to other dish.,Heat oil in a small pan adds all seasoning ingredients heat them till it crackles.,Sprinkle on the khandvi roll. Garnish with coriander leaves.,Serve hot.","Farsan,Snacks",50,52
Methi Vada (Fenugreek Fritters),"Methi Vada (Fenugreek Fritters) is one of monsoon special †road side snacks. Methi Vada is used as tea time snacks or as starter. Methi vada taste delicious, spicy special during rain. I always made some vadas and ginger tea during rain. Methi vada is healthy snacks also.","1 cup urad dal,1 cup chana dal,Ω cup mung dal,Ω cup rice,Salt to taste,2 cup fenugreek leaves (finely chopped),1 tsp garlic cloves (finely chopped),Oil for frying,A pinch of asafetida,Ω tsp turmeric powder,Ω tsp red chili powder,2 tbsp green chili paste,2 tbsp lemon juice,2 onions (finely chopped),1 tbsp Coriander seeds,2 tbsp coriander leaves (finely chopped),Water according to requirement,","Soak all dal and rice for 4-5 hour.,Drain water from it.,Add water and salt in it.,Grind it coarsely in a mixture jar.,Paste should be thick.,Keep mixture for 4 hour at room temperature.,Mix chili paste, asafetida, red chili powder, turmeric powder, coriander seeds, methi, garlic, onions and coriander leaves.,Also add lemon juice in it.,Heat oil in a pan at medium flame.,Fry Vada till it becomes crispy and brown in color.,Hot serve with lemon chutney , Mint Chutney and curd chutney also.","Farsan,Side Dish",60,53
Patras Äì Patarveliya,"Patra (Patarveliya Äì ‡§Ö‡§∞‡§¨‡•Ä ‡§™‡§§‡•ç‡§§‡§æ ‡§´‡•ç‡§∞‡§æ‡§Ø) is one of famous Gujarati side dish. Arbi or colocasia leaf is mostly avail in monsoon season, and patra taste delicious during rainy season. Patra taste spicy tangy and sweetly. Learn how to made patra easily.","6 Colocasia leaves (Arbi patta),3 cup Chickpea flour,Ω tsp Turmeric powder,1 tsp Red chili powder,3 tsp Green chili paste,1 Ginger paste,1 tbsp Sugar powder,1 tbsp Lemon juice,1 tsp Garam masala,Ω tsp Black pepper powder,2 tbsp Coriander leaves (chopped),Salt to taste,,5-6 Curry leaves,2 tsp Mustard seeds,1 tbsp Sesame seeds,2 tbsp Oil","Wash all leaves.,Keep a side.,Take chickpea flour add all ingredients in it.,Mix well and make batter.,Take one leaf and put it wrong side.,Spread batter on it.,Put another leaf on ot.,Make roll and keep a side.,Same processes do for other leaves also.,Steam all roll approx. 20-25 minutes.,Cut all roll into medium pieces.,Heat oil in a pan at medium flame.,Add mustard seeds in it.,When it spluttering, adds curry leaves and sesame seeds.,Spread on patra and mix it very well.,Serve with chutney.","Farsan,Side Dish,Snacks",40,54
Papdi Gathiya,"PrintPapdi Gathiya Äì Besan GathiyaRating: 51Prep Time: 10 minutesCook Time: 20 minutesTotal Time: 30 minutesServing Size: 4Papdi Gathiya with chutney, Sambharo, Fried Chilli and hot tea is bingo Gujarati Breakfast / Snacks combination. Papdi is one of famous and traditional Gujarati Snack.Ingredients3 cup Chickpea flour (Besan)1 tsp Black pepper powder1 tsp Baking sodaSalt to taste1 cup Oil2 cup Water1 tsp AsafetidaOil to fryInstructionsFirst take chickpea flour in mixing bowl.Add salt, soda, pinch of asafetida and black pepper powder, oil and water in the flour.Knead the dough. Make dough soft and place on to frying spoon.Take pan and heat oil at medium flame.Press frying spoon to make papadi gathiya.When papadi gathiya become crispy, take out to dish. And sprinkle black pepper powder and asafetida.Store papadi gathiya in air tight container for 8-10 days.NotesServe with hot tea, sambharo , chutney and cold curd.3.1","3 cup Chickpea flour (Besan),1 tsp Black pepper powder,1 tsp Baking soda,Salt to taste,1 cup Oil,2 cup Water,1 tsp Asafetida,Oil to fry","First take chickpea flour in mixing bowl.,Add salt, soda, pinch of asafetida and black pepper powder, oil and water in the flour.,Knead the dough. Make dough soft and place on to frying spoon.,Take pan and heat oil at medium flame.,Press frying spoon to make papadi gathiya.,When papadi gathiya become crispy, take out to dish. And sprinkle black pepper powder and asafetida.,Store papadi gathiya in air tight container for 8-10 days.",Farsan,10,55
Coriander Chutney,,"1 cup finely chopped coriander leaves,6 to 7 cloves finely chopped garlic,1 tsp groundnuts,3 tsp sugar,3 tsp lemon juice,4 to 5 green chilies,A small piece of ginger,Ω tsp turmeric powder,Salt to taste",,Chutney,45,56
Mint Coriander Chutney,,"Ω cup Mint (Finely chopped),1 cup finely chopped Coriander leaves,6 to 7 cloves finely chopped Garlic,1 tea spoon Groundnuts,3 tea spoon Sugar,3 tea spoon Lemon juice,4 to 5 green Chilies,A small piece of Ginger,Ω tea spoon Turmeric powder,Salt to taste",,Chutney,,57
Tindora no Sambhara,"PrintTindora no SambharaRating: 51Prep Time: 5 minutesCook Time: 10 minutesTotal Time: 15 minutesServing Size: 4Tindora Sambharo (Gherkins Sambharo) is an accompaniment to the Gujarati Thali or main meal. Learn to make tindora sambharo easily.Ingredients50 gm Gherkins (Tindora)4-5 green chilis (long cut)For seasoning2 tbsp OilΩ tsp Mustard seedsΩ tsp Turmeric powderSalt to tasteInstructionsFirst cut gherkins and chili in to long pieces.Heat oil in pan at medium flame.Add mustard seeds in oil.When it splutters, add turmeric powder, chili, gherkins, salt and stir it properly.Cover the lid. Cook for 5 minutes at slow flame. You can cook more 2-3 minutes also to softer.When it becomes soft, side in to bowl.Serve with daily Gujarati Thali or daily meal.NotesYou can add more chili to make Spicer.3.1","50 gm Gherkins (Tindora),4-5 green chilis (long cut),,2 tbsp Oil,Ω tsp Mustard seeds,Ω tsp Turmeric powder,Salt to taste","First cut gherkins and chili in to long pieces.,Heat oil in pan at medium flame.,Add mustard seeds in oil.,When it splutters, add turmeric powder, chili, gherkins, salt and stir it properly.,Cover the lid. Cook for 5 minutes at slow flame. You can cook more 2-3 minutes also to softer.,When it becomes soft, side in to bowl.,Serve with daily Gujarati Thali or daily meal.","Salad & Raita,Side Dish",12,58
Cabbage Carrot Sambharo,"PrintCabbage Carrot SambharoRating: 51Prep Time: 5 minutesCook Time: 5 minutesTotal Time: 10 minutesServing Size: 4Cabbage Carrot Sambharo (Salad) is an accompaniment to the Gujarati main meal. Sambharo is nutrient and traditional Gujarati side-dish.Ingredients4 cup Cabbage (finely shredded)1 medium size Carrot (grated)4-5 green Chilis (finely shredded)For seasoning2Ω tbsp OilΩ tsp Mustard seedsΩ tsp turmeric powderSalt to tasteInstructionsHeat oil in pan at medium flame.Add mustard seeds in oil. When it splutters, add turmeric powder, cabbage, carrot, chili, salt in it and stir it well.Cook for 4-5 minutes at slow flame.When it becomes crunchy, Sambharo is ready for serve.NotesYou can add more chili to Spicer. You can serve with Gathiya, Roti, Rotalo, Bhakhari also.3.1","4 cup Cabbage (finely shredded),1 medium size Carrot (grated),4-5 green Chilis (finely shredded),,2Ω tbsp Oil,Ω tsp Mustard seeds,Ω tsp turmeric powder,Salt to taste","Heat oil in pan at medium flame.,Add mustard seeds in oil. When it splutters, add turmeric powder, cabbage, carrot, chili, salt in it and stir it well.,Cook for 4-5 minutes at slow flame.,When it becomes crunchy, Sambharo is ready for serve.","Salad & Raita,Side Dish",45,59
Farali Kadhi,"Farali Kadhi (Vrat ki Kadhi) is delicious fasting recipe, serves with farali sukhi bhaji, farali bhajiya or khichdi. ItÄôs tangy, spicy tastes gives awesome feeling.","Ω liter medium Sour Butter milk,Ω tbsp Rajagara or Singola flour,2 tsp Coriander leaves (chopped),,5-6 Curry leaves,2 tsp Cumin seeds,Salt to taste,1 dry Red chili,2 tsp Ginger-chili paste,2 tsp Sugar","Mix rajagara flour and butter milk.,Heat oil in a pan at slow flame.,Add curry leaves and cumin seeds in it.,When it is spluttering, add dry red chili, ginger-chili paste.,Stir for few second and add butter milk in it.,Now mix salt and sugar.,Cook for 10-15 minutes at slow flame.,Cook more if raw taste is appearing.,Garnish with coriander leaves.","Farali,Side Dish",78,60
Farali Paneer Kheer,Farali Paneer Kheer is one of delicious and easiest fasting sweet or deserts. Normally I made farali kheer using Moraiyo but I tried new variant using panner. You can serve as hot deserts or chilled. You can add other ingredients like dry fruits etc.,"Ω liter milk,2 cup grated paneer,Ω cup sugar,1 tsp cardamom powder,1 tbsp cashew nuts powder,Ω tbsp almond (grated),Ω tbsp pistachios (grated),","Mix paneer and milk in a deep pan.,Boil well for 8-10 minutes.,Add sugar and stir it dissolve.,Also add cashew nuts powder and cardamom powder in it.,And cook for 5-6 minutes.,Mix well and cool.,Set in a refrigerator for 2-3 hour.,Garnish with almond and pistachios.,Kheer is ready to serve.",Farali,121,61
Farali Bhajiya,,"100 gm Rajagara flour,100 gm shingola flour,1 potato (grated),3 green chili (fine chopped),Salt to taste,1 tsp black pepper powder,Water according to taste,","Sieve both the flour in a bowl.,Add salt, chili, black pepper powder and potato in it.,Mix it well.  Add water make medium batter.,Heat oil in a pan at slow flame.,Take approx 1 spoon batter with hand or spoon and put in oil.,Make bhajiya.,Deep fry till it becomes light golden in color.,Serve with green chutney, date chutney.",Farali,20,62
